journal_short,issn
aer,"0002-8282"
ecta,"0012-9682"
jpe,"0022-3808"
qje,"0033-5533"
restud,"0034-6527"
aeja,"1945-7790"
aejp,"1945-774X"
aeri,"2640-205X"
bjir,"0007-1080"
cje,"0008-4085"
economica,"0013-0427"
ee,"0377-7332"
eer,"0014-2921"
ei,"0095-2583"
ej,"0013-0133"
el,"0165-1765"
icc,"0960-6491"
ilr,"0019-7939"
ir,"0019-8676"
izajl,"2193-8997"
jae,"0883-7252"
jbes,"0735-0015"
jce,"0147-5967"
jeea,"1542-4766"
jep,"0895-3309"
jhe,"0167-6296"
jhr,"0022-166X"
jlr,"0195-3613"
jole,"0734-306X"
jpam,"0276-8739"
jpemicro,"2832-9368"
jpub,"0047-2727"
labour,"1121-7081"
le,"0927-5371"
obes,"0305-9049"
oep,"0030-7653"
restat,"0034-6535"
sej,"0038-4038"